label_id,label_name,n_images_with_label,mean_dice_tumour_label,mean_frac_label_covered_by_tumour,mean_frac_tumour_in_label,total_intersection_voxels,total_label_voxels,pooled_frac_label_covered_by_tumour,pooled_frac_tumour_in_label,is_bone_label
71,scapula_left,559,0.0067,0.020793,0.006357,66127,3220943,0.02053032,0.01459649,1
104,rib_right_1,558,0.000806,0.020204,0.000478,6084,296764,0.02050114,0.00134295,1
112,rib_right_9,560,0.00168,0.01918,0.002065,10085,529694,0.01903929,0.0022261,1
74,clavicula_right,558,0.002057,0.018037,0.001343,16633,926631,0.01794997,0.00367147,1
92,rib_left_1,558,0.000731,0.017767,0.00043,5451,294947,0.01848129,0.00120322,1
73,clavicula_left,558,0.001526,0.016063,0.000957,14632,886997,0.01649611,0.00322978,1
70,humerus_right,556,0.005187,0.015975,0.00426,60808,3701623,0.01642739,0.0134224,1
76,femur_right,560,0.008024,0.015782,0.014178,102011,6724424,0.01517022,0.02251731,1
101,rib_left_10,560,0.00081,0.015392,0.000498,7068,451095,0.01566854,0.00156015,1
75,femur_left,560,0.008905,0.014884,0.012902,105946,6748140,0.01570003,0.0233859,1
50,vertebrae_C1,543,0.000571,0.014252,0.000334,4754,322125,0.01475825,0.00104937,1
24,kidney_cyst_right,142,4.3e-05,0.014085,2.3e-05,4,37441,0.00010683,8.8e-07,0
113,rib_right_10,560,0.000846,0.01322,0.00063,5772,432243,0.0133536,0.00127408,1
69,humerus_left,557,0.004483,0.013095,0.00561,47545,3565747,0.01333381,0.01049481,1
