label_id,label_name,is_bone_label,n_baseline,mean_baseline,std_baseline,median_baseline,q25_baseline,q75_baseline,n_follow-up,mean_follow-up,std_follow-up,median_follow-up,q25_follow-up,q75_follow-up,n_patients_paired,median_delta,mean_delta,wilcoxon_stat,wilcoxon_p,mean_difference
2,kidney_right,0,358,0.000322189,0.00596004,0,0,0,201,0.000291865,0.00413789,0,0,0,145,0,-0.000387991,3,0.465209,-3.03248e-05
20,colon,0,358,0.000144184,0.000547748,0,0,0,202,8.84736e-05,0.000399936,0,0,0,146,0,-3.95232e-05,170,0.0787985,-5.57099e-05
61,atrial_appendage_left,0,357,6.31625e-05,0.000881064,0,0,0,201,0,0,0,0,0,145,0,0,,,-6.31625e-05
11,lung_lower_lobe_left,0,358,0.000673598,0.00392924,0,0,0,202,0.000586217,0.00356585,0,0,0,146,0,-0.000199363,534,0.317739,-8.73806e-05
90,brain,0,250,0.000113069,0.00126181,0,0,0,146,2.03792e-05,0.00020505,0,0,0,89,0,-0.00012251,3,1,-9.26897e-05
16,trachea,0,357,0.00127136,0.00767579,0,0,0,201,0.00116395,0.00718975,0,0,0,145,0,-0.000754966,158,0.305498,-0.000107415
51,heart,0,358,0.000231779,0.00117813,0,0,0,202,8.71787e-05,0.000348352,0,0,0,146,0,-0.000209563,202,0.160729,-0.0001446
1,spleen,0,358,0.000240858,0.00373255,0,0,0,202,9.17691e-05,0.000733459,0,0,0,146,0,-0.000454246,35,0.753684,-0.000149089
60,brachiocephalic_vein_right,0,357,0.000684548,0.00727483,0,0,0,201,0.000523737,0.00505078,0,0,0,145,0,0.000201419,10,0.916512,-0.000160811
58,common_carotid_artery_left,0,357,0.00112168,0.00733843,0,0,0,201,0.000901018,0.00635413,0,0,0,145,0,-0.000210095,44,0.593618,-0.000220661
12,lung_upper_lobe_right,0,357,0.00104981,0.00947093,0,0,0,201,0.00082739,0.00627591,0,0,4.961e-05,145,0,-0.00054314,1183,0.727686,-0.000222423
88,iliopsoas_left,0,358,0.000943891,0.00438509,0,0,0,202,0.000690524,0.0042889,0,0,0,146,0,-0.000158925,540,0.346605,-0.000253366
117,costal_cartilages,0,358,0.000567219,0.00331267,0,0,0,202,0.000297614,0.00126021,0,0,0,146,0,-0.000416209,396,0.850737,-0.000269605
65,iliac_artery_left,0,358,0.00602207,0.022035,0,0,0,202,0.00570437,0.0204078,0,0,0,146,0,-6.1429e-05,279,0.978618,-0.0003177
55,subclavian_artery_right,0,357,0.00149529,0.00917104,0,0,0,201,0.00110021,0.00803722,0,0,0,145,0,-0.00105338,52,0.408044,-0.000395088
13,lung_middle_lobe_right,0,358,0.000885122,0.00967284,0,0,0,202,0.000399351,0.0021863,0,0,0,146,0,-0.00115733,376,0.110224,-0.000485772
59,brachiocephalic_vein_left,0,357,0.00111656,0.00804068,0,0,0,201,0.000582167,0.00428048,0,0,0,145,0,-0.00109394,18,0.33288,-0.000534394
89,iliopsoas_right,0,358,0.00150543,0.00961972,0,0,0,202,0.000961358,0.0077796,0,0,0,146,0,-0.000957731,289,0.0421693,-0.000544067
56,subclavian_artery_left,0,357,0.00125151,0.00947988,0,0,0,201,0.000692572,0.0040665,0,0,0,145,0,-0.000229901,46,0.683239,-0.000558939
57,common_carotid_artery_righ,0,357,0.00125001,0.0107051,0,0,0,201,0.000546627,0.00378541,0,0,0,145,0,-0.00146901,10,0.262618,-0.000703382
19,duodenum,0,358,0.00299268,0.0235754,0,0,0,202,0.00228923,0.0150604,0,0,0,146,0,-0.00159658,93,0.654159,-0.000703448
8,adrenal_gland_right,0,358,0.00174965,0.0238495,0,0,0,202,0.000598046,0.00849984,0,0,0,146,0,-0.00175047,1,0.654721,-0.0011516
53,pulmonary_vein,0,357,0.00228842,0.0172445,0,0,0,201,0.00073367,0.00545536,0,0,0,145,0,-0.00141514,29,0.140146,-0.00155475
63,inferior_vena_cava,0,358,0.00442528,0.0163661,0,0,0,202,0.00279641,0.0105284,0,0,0,146,0,-0.00447263,289,0.0036132,-0.00162887
66,iliac_artery_right,0,358,0.00456389,0.0198471,0,0,0,202,0.0026987,0.0171104,0,0,0,146,0,-0.00284,112,0.00769585,-0.0018652
15,esophagus,0,358,0.00692581,0.0276889,0,0,0,202,0.00482066,0.020076,0,0,0,146,0,-0.00472637,405,0.0605253,-0.00210516
21,urinary_bladder,0,358,0.00606723,0.0231667,0,0,0.000337037,201,0.00355004,0.0146533,0,0,0,145,0,-0.00120078,588,0.183426,-0.0025172
67,iliac_vena_left,0,358,0.0133151,0.0513773,0,0,0,202,0.00835115,0.035855,0,0,0,146,0,-0.00305789,319,0.321781,-0.00496399
68,iliac_vena_right,0,358,0.0110499,0.0425113,0,0,0,202,0.0051734,0.0290417,0,0,0,146,0,-0.0100192,95,0.000536089,-0.00587653
22,prostate,0,354,0.0755524,0.161585,0,0,0.0649989,198,0.0190174,0.0641765,0,0,0,139,0,-0.0359622,236,0.00421291,-0.056535
