"global_step","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MIN","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MAX","rebellious-stork-38993360 - _step","rebellious-stork-38993360 - _step__MIN","rebellious-stork-38993360 - _step__MAX"
"21032","0.05087612450827295","0.05087612450827295","0.05087612450827295","177180","177180","177180"
"21510","0.0531231995122746","0.0531231995122746","0.0531231995122746","177780","177780","177780"
"21988","0.0534847151414933","0.0534847151414933","0.0534847151414933","178381","178381","178381"
"22466","0.05049556572563373","0.05049556572563373","0.05049556572563373","178981","178981","178981"
"22944","0.058238543172102746","0.058238543172102746","0.058238543172102746","179582","179582","179582"
"23422","0.05276425195953403","0.05276425195953403","0.05276425195953403","180182","180182","180182"
"23900","0.05228824699775149","0.05228824699775149","0.05228824699775149","180783","180783","180783"
"24378","0.060140255719232254","0.060140255719232254","0.060140255719232254","181383","181383","181383"
"24856","0.07286356720261467","0.07286356720261467","0.07286356720261467","181984","181984","181984"
"25334","0.05005384802531738","0.05005384802531738","0.05005384802531738","182584","182584","182584"
"25812","0.0480891812640505","0.0480891812640505","0.0480891812640505","183185","183185","183185"
"26290","0.059341856287434123","0.059341856287434123","0.059341856287434123","183785","183785","183785"
"26768","0.06200633369959318","0.06200633369959318","0.06200633369959318","184386","184386","184386"
"27246","0.04718670219732209","0.04718670219732209","0.04718670219732209","184986","184986","184986"
"27724","0.044852805126888246","0.044852805126888246","0.044852805126888246","185587","185587","185587"
"28202","0.04882660108761719","0.04882660108761719","0.04882660108761719","186187","186187","186187"
"28680","0.06334262837966283","0.06334262837966283","0.06334262837966283","186788","186788","186788"
"29158","0.05304356003538347","0.05304356003538347","0.05304356003538347","187388","187388","187388"
"29636","0.043549077436089136","0.043549077436089136","0.043549077436089136","187989","187989","187989"
"30114","0.06636538568478173","0.06636538568478173","0.06636538568478173","188589","188589","188589"
"30592","0.07291508136460415","0.07291508136460415","0.07291508136460415","189190","189190","189190"
"31070","0.056655027282734714","0.056655027282734714","0.056655027282734714","189790","189790","189790"
"31548","0.05006243369709223","0.05006243369709223","0.05006243369709223","190391","190391","190391"
"32026","0.04775070751276918","0.04775070751276918","0.04775070751276918","190991","190991","190991"
"32504","0.05683796513133133","0.05683796513133133","0.05683796513133133","191592","191592","191592"
"32982","0.0429950674655489","0.0429950674655489","0.0429950674655489","192192","192192","192192"
"33460","0.052199530868958205","0.052199530868958205","0.052199530868958205","192793","192793","192793"
"33938","0.05494349754343812","0.05494349754343812","0.05494349754343812","193393","193393","193393"
"34416","0.05449891820526085","0.05449891820526085","0.05449891820526085","193994","193994","193994"
"34894","0.06302728555284631","0.06302728555284631","0.06302728555284631","194594","194594","194594"
